DEPARTAME_NOMBRE,MUNICIPIO_NOMBRE,TotalPersonasSencibilizadas,COD DANE INST EDUC,MUNICIPIO_COD,FECHA DE CARGUE,ID INDICADOR,INVERSION_TOTAL,FECHA VIGENCIA,META_NACIONAL
BOYACA,VILLA DE LEYVA,14,115407000023,15407,2015-12-31,3101,1039320.97,2015-12-31,34000
CASANARE,MONTERREY,13,185162000527,85162,2016-12-31,3979,1151050.74,2016-12-31,48000
CUNDINAMARCA,SOACHA,12,125754001159,25754,2015-12-31,3101,890846.55,2015-12-31,34000
ATLANTICO,BARRANQUILLA,4,108001002975,8001,2016-12-31,3979,354169.46,2016-12-31,48000
SAN ANDRES Y PROVIDENCIA,SAN ANDRES,7,288001000431,88001,2016-12-31,3979,619796.55,2016-12-31,48000
CORDOBA,CERETE,14,223162000887,23162,2016-12-31,3979,1239593.11,2016-12-31,48000
NORTE DE SANTANDER,CUCUTA,13,154001009211,54001,2015-12-31,3101,965083.76,2015-12-31,34000
PUTUMAYO,PUERTO ASIS,5,186568000567,86568,2016-12-31,3979,442711.82,2016-12-31,48000
LA GUAJIRA,FONSECA,29,144279000392,44279,2014-12-31,2344,3432530.81,2014-12-31,18300
CALDAS,ARANZAZU,8,217050000400,17050,2016-12-31,3979,708338.92,2016-12-31,48000
HUILA,ACEVEDO,14,241006001201,41006,2016-12-31,3979,1239593.11,2016-12-31,48000
CUNDINAMARCA,FOMEQUE,10,325279000451,25279,2015-12-31,3101,742372.12,2015-12-31,34000
TOLIMA,SAN ANTONIO,21,273675000537,73675,2014-12-31,2344,2485625.76,2014-12-31,18300
CESAR,VALLEDUPAR,8,120001800065,20001,2016-12-31,3979,708338.92,2016-12-31,48000
SANTANDER,AGUADA,14,168013000016,68013,2016-12-31,3979,1239593.11,2016-12-31,48000
ANTIOQUIA,BELLO,14,205088000120,5088,2015-12-31,3101,1039320.97,2015-12-31,34000
HUILA,PITALITO,18,441551001012,41551,2016-12-31,3979,1593762.57,2016-12-31,48000
CUNDINAMARCA,LA PALMA,22,225394000436,25394,2014-12-31,2344,2603988.89,2014-12-31,18300
VALLE DEL CAUCA,BUENAVENTURA,25,176109000575,76109,2016-12-31,3979,2213559.12,2016-12-31,48000
SUCRE,BUENAVISTA,23,170110000025,70110,2016-12-31,3979,2036474.39,2016-12-31,48000
CUNDINAMARCA,MOSQUERA,109,125473000242,25473,2014-12-31,2344,12901581.34,2014-12-31,18300
CHOCO,QUIBDO,17,127001001621,27001,2014-12-31,2344,2012173.23,2014-12-31,18300
ATLANTICO,MALAMBO,26,308433000875,8433,2015-12-31,3101,1930167.52,2015-12-31,34000
CAUCA,POPAYAN,15,119001003990,19001,2015-12-31,3101,1113558.18,2015-12-31,34000
ANTIOQUIA,BELLO,22,105088000532,5088,2015-12-31,3101,1633218.67,2015-12-31,34000
NORTE DE SANTANDER,LOS PATIOS,41,154405000137,54405,2016-12-31,3979,3630236.96,2016-12-31,48000
VALLE DEL CAUCA,GUADALAJARA DE BUGA,20,176111000531,76111,2014-12-31,2344,2367262.63,2014-12-31,18300
ATLANTICO,SOLEDAD,25,308758076533,8758,2016-12-31,3979,2213559.12,2016-12-31,48000
MAGDALENA,PLATO,13,247555002560,47555,2014-12-31,2344,1538720.71,2014-12-31,18300
MAGDALENA,SANTA MARTA,57,147001006500,47001,2015-12-31,3101,4231521.12,2015-12-31,34000
TOLIMA,NATAGAIMA,35,273483000851,73483,2016-12-31,3979,3098982.77,2016-12-31,48000
TOLIMA,IBAGUE,4,173001004788,73001,2016-12-31,3979,354169.46,2016-12-31,48000
VALLE DEL CAUCA,CALI,32,176001005643,76001,2016-12-31,3979,2833355.68,2016-12-31,48000
ANTIOQUIA,TURBO,5,105837000153,5837,2015-12-31,3101,371186.06,2015-12-31,34000
CALDAS,ANSERMA,5,117042000561,17042,2016-12-31,3979,442711.82,2016-12-31,48000
CUNDINAMARCA,CHIA,4,125175000299,25175,2016-12-31,3979,354169.46,2016-12-31,48000
CHOCO,QUIBDO,27,127001017896,27001,2014-12-31,2344,3195804.55,2014-12-31,18300
QUINDIO,ARMENIA,4,363001002797,63001,2016-12-31,3979,354169.46,2016-12-31,48000
BOLIVAR,CARTAGENA,3,113001005544,13001,2016-12-31,3979,265627.09,2016-12-31,48000
CASANARE,MANI,7,285139000069,85139,2015-12-31,3101,519660.48,2015-12-31,34000
BOYACA,SANTANA,20,115686000011,15686,2015-12-31,3101,1484744.25,2015-12-31,34000
CHOCO,QUIBDO,21,127001018001,27001,2014-12-31,2344,2485625.76,2014-12-31,18300
MAGDALENA,FUNDACION,2,347288000701,47288,2014-12-31,2344,236726.26,2014-12-31,18300
BOGOTA,"BOGOTA, D.C.",16,111001094901,11001,2016-12-31,3979,1416677.84,2016-12-31,48000
CHOCO,ISTMINA,25,127361000137,27361,2014-12-31,2344,2959078.28,2014-12-31,18300
SUCRE,SAN JUAN DE BETULIA,1,270702000227,70702,2016-12-31,3979,88542.36,2016-12-31,48000
ATLANTICO,SOLEDAD,18,308758000014,8758,2015-12-31,3101,1336269.82,2015-12-31,34000
CESAR,RIO DE ORO,8,220614000333,20614,2016-12-31,3979,708338.92,2016-12-31,48000
BOLIVAR,CARTAGENA,20,113001002812,13001,2015-12-31,3101,1484744.25,2015-12-31,34000
BOYACA,CHIQUINQUIRA,8,115176000084,15176,2014-12-31,2344,946905.05,2014-12-31,18300
ATLANTICO,SOLEDAD,5,308758078056,8758,2016-12-31,3979,442711.82,2016-12-31,48000
ATLANTICO,BARRANQUILLA,5,308001004144,8001,2016-12-31,3979,442711.82,2016-12-31,48000
CAUCA,SILVIA,16,219743000961,19743,2015-12-31,3101,1187795.4,2015-12-31,34000
TOLIMA,IBAGUE,204,173001000367,73001,2016-12-31,3979,18062642.47,2016-12-31,48000
SANTANDER,BUCARAMANGA,10,168001002421,68001,2014-12-31,2344,1183631.31,2014-12-31,18300
META,VILLAVICENCIO,17,350001007671,50001,2016-12-31,3979,1505220.2,2016-12-31,48000
VALLE DEL CAUCA,CALI,17,376001016407,76001,2015-12-31,3101,1262032.61,2015-12-31,34000
CUNDINAMARCA,SUESCA,73,125772000194,25772,2015-12-31,3101,5419316.52,2015-12-31,34000
CALDAS,MANIZALES,24,117001000653,17001,2014-12-31,2344,2840715.15,2014-12-31,18300
LA GUAJIRA,RIOHACHA,10,344001003853,44001,2015-12-31,3101,742372.12,2015-12-31,34000
RISARALDA,PEREIRA,1,166001000093,66001,2016-12-31,3979,88542.36,2016-12-31,48000
VALLE DEL CAUCA,CALI,30,376001021966,76001,2014-12-31,2344,3550893.94,2014-12-31,18300
RISARALDA,MARSELLA,19,266440000088,66440,2016-12-31,3979,1682304.93,2016-12-31,48000
VALLE DEL CAUCA,CALI,16,376001016342,76001,2014-12-31,2344,1893810.1,2014-12-31,18300
VALLE DEL CAUCA,CALI,33,176001006119,76001,2015-12-31,3101,2449828.01,2015-12-31,34000
CORDOBA,MONTERIA,21,223001008675,23001,2016-12-31,3979,1859389.66,2016-12-31,48000
VALLE DEL CAUCA,CALI,16,176001011163,76001,2015-12-31,3101,1187795.4,2015-12-31,34000
META,LA MACARENA,8,250350000042,50350,2016-12-31,3979,708338.92,2016-12-31,48000
ATLANTICO,BARRANQUILLA,26,108001012644,8001,2015-12-31,3101,1930167.52,2015-12-31,34000
CAUCA,POPAYAN,3,119001000192,19001,2016-12-31,3979,265627.09,2016-12-31,48000
CORDOBA,MONTERIA,9,223001006702,23001,2016-12-31,3979,796881.28,2016-12-31,48000
CHOCO,QUIBDO,19,127001003534,27001,2014-12-31,2344,2248899.5,2014-12-31,18300
CAUCA,EL TAMBO,11,219256000697,19256,2015-12-31,3101,816609.33,2015-12-31,34000
ATLANTICO,SOLEDAD,12,108758004151,8758,2015-12-31,3101,890846.55,2015-12-31,34000
CESAR,GONZALEZ,31,120310000014,20310,2016-12-31,3979,2744813.31,2016-12-31,48000
NARI�O,SAN ANDRES DE TUMACO,12,152835003561,52835,2016-12-31,3979,1062508.38,2016-12-31,48000
ATLANTICO,SOLEDAD,8,308758001665,8758,2016-12-31,3979,708338.92,2016-12-31,48000
CORDOBA,TUCH�N,59,223670001341,23815,2016-12-31,3979,5223999.54,2016-12-31,48000
CAUCA,EL TAMBO,22,219256000191,19256,2014-12-31,2344,2603988.89,2014-12-31,18300
BOGOTA,"BOGOTA, D.C.",23,111265000394,11001,2016-12-31,3979,2036474.39,2016-12-31,48000
